Longitude, Latitude
-47.09243,-22.817092
-47.09253765765658,-22.817209147649095
-47.09241002065938,-22.817158668447043
-47.092411882580414,-22.81710567412423
-47.092311597197096,-22.817061899929385
-47.09229356155569,-22.817142460337852
-47.092177099570264,-22.81725693727534
-47.09220198680905,-22.817389075150302
-47.09234174008308,-22.817497695448573
-47.09253700121323,-22.817498558831822
-47.09250488379592,-22.8173423383933
-47.092405442288424,-22.817437633662486
-47.09225622009727,-22.817542996895494
-47.09240318249266,-22.81757238287631
-47.09230206171421,-22.817468272552954
-47.0923399907841,-22.817461164053505
-47.09224379669961,-22.817458810241714
-47.09230884477625,-22.817459830717027
-47.09250412366461,-22.817467091055306
-47.092512349597506,-22.817297255638948
-47.09245164286171,-22.817362412804254
-47.09257237337674,-22.81730653549608
-47.0925098072751,-22.81739681929387
-47.09249482789786,-22.817310865174555
-47.09253509370685,-22.817207776410957
-47.09252480759626,-22.81730936634846
-47.092608582572254,-22.817318393142656
-47.09268462382109,-22.817252722961868
-47.09265074599579,-22.817153807607
-47.0924877990705,-22.81719837639433
-47.092625536201616,-22.817218197652977
-47.09250044048124,-22.817154831563318
-47.09238334739885,-22.817209976156978
-47.09235704767239,-22.817033114381413
-47.09236276230541,-22.816945728122963
-47.09230631684236,-22.817065621191645
-47.0922413289039,-22.81717021217423
-47.0921359390998,-22.8171008597029
-47.09211456082396,-22.817141958869982
-47.09213614412083,-22.817154573328146
-47.09202141057779,-22.817115128236395
-47.09193668007009,-22.817062795052017
-47.09188087635832,-22.8169168653268
-47.091799894882485,-22.816956471486392
-47.09166804800163,-22.816889106457918
-47.09157479943773,-22.816739031539537
-47.09159713012562,-22.816686899552778
-47.0915397045894,-22.816624218535967
-47.09145556525222,-22.816717021581503
-47.09128608157337,-22.816643969812556
-47.09135558200882,-22.816702716812635
-47.091245815946074,-22.816637954884506
-47.09125725923951,-22.816525575768758
-47.09120588290017,-22.816389684059256
-47.09122402437196,-22.81632773012875
-47.09133319620731,-22.816416001696307
-47.091304234488234,-22.816407294092578
-47.091440040565345,-22.816388716303077
-47.091495119128005,-22.816268835772934
-47.091437082344484,-22.816414656452423
-47.09128035884878,-22.816366268334498
-47.09120684838534,-22.816292817395006
-47.09108170101345,-22.81623485256008
-47.09092715323367,-22.81612805816745
-47.09085066374994,-22.81607571916518
-47.090928226886206,-22.816121550932536
-47.09110552554824,-22.816167755061027
-47.09103125910164,-22.81628536800949
-47.09096071095924,-22.81621190491861
-47.090995567375884,-22.816237839061237
-47.091086294994525,-22.81629744757596
-47.091042133422846,-22.81642495398824
-47.090949437806266,-22.816579235475615
-47.091054772682696,-22.81672755639939
-47.09092621780182,-22.816790466841532
-47.09092564954778,-22.816809094283187
-47.09087133899954,-22.81679579514024
-47.09077527736624,-22.816684081879067
-47.09072339609146,-22.816646841422468
-47.09074447548633,-22.816607574187397
-47.09075963399321,-22.816613372895922
-47.090803778343854,-22.816720439795432
-47.09063102475803,-22.816727128024358
-47.09057851397478,-22.816702430750208
-47.09069470180382,-22.816590310669863
-47.09085106037592,-22.816527527383784
-47.09091006761562,-22.816505281712846
-47.09083117457633,-22.81641254662651
-47.090775370337596,-22.816583283842153
-47.090890254555006,-22.816528111575053
-47.0907496732065,-22.81651764791699
-47.090619139531576,-22.816393170318683
-47.0905288704663,-22.816420570386722
-47.090457499724934,-22.8165322863001
-47.09042571153693,-22.816474007895945
-47.090298499801726,-22.81659487523355
-47.09029086497093,-22.816430840588286
-47.09041576683805,-22.816420457672514
-47.09051135115416,-22.81646816203233
-47.090514895578885,-22.816330653469002
-47.09050663270223,-22.816449807134514
-47.090501317015615,-22.816565343871268
-47.09062811203303,-22.816641929356802
-47.09060302081271,-22.81670262260245
-47.09055308721858,-22.816788467136707
-47.09063097977654,-22.81681789776058
-47.09044987539378,-22.81675947490805
-47.09051610666287,-22.8168217895413
-47.090401024834584,-22.816904227862135
-47.09049776101638,-22.816763398224236
-47.09041594609803,-22.81674101639471
-47.09037401130384,-22.81664811311174
-47.09048364406929,-22.816583595709268
-47.090449209024925,-22.81671446285856
-47.09061506847472,-22.816676228571463
-47.09065312176835,-22.816724346544998
-47.09071922228903,-22.81669283551191
-47.09087316801159,-22.816791418410812
-47.09092926528559,-22.816655670851777
-47.09094616841101,-22.81649295922841
-47.09101318705138,-22.816518880352007
-47.09099067480405,-22.816567145351176
-47.09112310276487,-22.81643811134352
-47.091071427239285,-22.816484345496853
-47.09114988678788,-22.816550195216145
-47.091071970129065,-22.81656102970589
-47.09113628917724,-22.81661220674056
-47.091205045383454,-22.81658070840544
-47.091120487024654,-22.81655620451076
-47.091265444440836,-22.81647531359749
-47.09126973876739,-22.8165490496582
-47.09126087293,-22.816412953338226
-47.091290327935965,-22.81624343294932
-47.09134091714384,-22.8162051281025
-47.09124490459722,-22.8161820293363
-47.091173816938266,-22.816349078940544
-47.09117685372611,-22.81634122968005
-47.09100546346889,-22.81632941545628
-47.09106309234263,-22.81621138788173
-47.09102585062944,-22.81638289385889
-47.09100943397362,-22.81644915931999
-47.09110509421607,-22.8165614730443
-47.091080092468836,-22.816583916482752
-47.09124678494677,-22.816603164792692
-47.09113983452473,-22.81647020134766
-47.09125849581216,-22.816580371731472
-47.091372163571755,-22.81645275161459
-47.091275565378,-22.816324876042522
-47.091269069353174,-22.81633996311079
-47.091102108769356,-22.81642911325263
-47.09107356259738,-22.81639181773605
-47.09088776313486,-22.81644179123054
-47.090727925846124,-22.816539275434508
