Longitude, Latitude
-47.09243,-22.817092
-47.09248452296365,-22.8169750979067
-47.09242783039858,-22.817115173292756
-47.092241424097374,-22.817074620605
-47.092149232635585,-22.817087464590394
-47.09202721568102,-22.81708732152041
-47.09210604914462,-22.817195231800962
-47.092126857399286,-22.817148910846065
-47.09230791230688,-22.817166758746296
-47.09215716151961,-22.81719529806194
-47.09218390435893,-22.817238920179395
-47.0920318192868,-22.817162912631613
-47.09194708793254,-22.817287527787386
-47.0918250613186,-22.817214266736457
-47.09176007670125,-22.81707946146838
-47.091730093434684,-22.816937319771974
-47.09167954643563,-22.816980667912016
-47.09163846451409,-22.81708347236915
-47.091580091907176,-22.817037238183072
-47.091587938352234,-22.8169608342617
-47.091615737981144,-22.816854140414026
-47.09176686754099,-22.816897548947747
-47.09188114417666,-22.81697046948233
-47.09169632055202,-22.81702837553603
-47.091510695926154,-22.816991976783136
-47.091322920925755,-22.817008727669112
-47.09141438023844,-22.81691996818831
-47.09148757404184,-22.81683428621092
-47.09139525367247,-22.816924629926586
-47.09138823691604,-22.81678318975779
-47.091297944680605,-22.816747202075618
-47.09144032964442,-22.816737615615168
-47.09150891047386,-22.81677471283859
-47.0914600805236,-22.816854344843115
-47.091485039249406,-22.816931401495843
-47.09142408665253,-22.816794911095965
-47.09144411318881,-22.816920614487294
-47.091485498114935,-22.8167524453891
-47.091412640725885,-22.816609939678848
-47.091507556111566,-22.816740835478896
-47.09158696371668,-22.816808520171936
-47.09155896176971,-22.816706217238384
-47.09155446236166,-22.8167912253754
-47.0914910394772,-22.816687733741464
-47.09158896875229,-22.81675279170776
-47.09158723811623,-22.816616581991465
-47.091749753729225,-22.81653756583211
-47.091751012824254,-22.81649898159173
-47.091860847370256,-22.816422785744397
-47.09201639246549,-22.81644724540581
-47.092036894844526,-22.81649366456998
-47.0919398843466,-22.816437967639168
-47.09202819317573,-22.816397716416514
-47.09196793386976,-22.81636847887657
-47.09199364336954,-22.816536910905487
-47.091981995426444,-22.816624778374692
-47.09203611665317,-22.816657838971334
-47.091976035372625,-22.81673772710674
-47.09205228011728,-22.816696326354524
-47.09221639129175,-22.816720591198848
-47.092327012639615,-22.81662117047629
-47.09242454269191,-22.81665156992028
-47.092324756486136,-22.816686660996602
-47.09242506170276,-22.81660157061591
-47.09233949735261,-22.816540559104507
-47.09234083461791,-22.816417451033733
-47.09239374186825,-22.816356828430624
-47.09254368170553,-22.816317242713676
-47.09265314315116,-22.816456792301917
-47.09274775470996,-22.816589247329553
-47.09272586610545,-22.816724872997504
-47.09272107690192,-22.816781777648764
-47.09273544540951,-22.816826161163757
-47.09283582850947,-22.816739144823206
-47.09266844714993,-22.816763639247736
-47.092610344133526,-22.816614232876397
-47.0927689841402,-22.816575275081526
-47.092811219996975,-22.816664045891788
-47.09284236500587,-22.816579637800423
-47.09303337826798,-22.8165799637745
-47.09302170528859,-22.81658036945478
-47.09309025267243,-22.81645297260114
-47.0932754502579,-22.816454818657338
-47.09316164409685,-22.81632046903854
-47.09305551232084,-22.816455387485234
-47.0930667830881,-22.81651220771117
-47.093024044682664,-22.81651015787548
-47.093116594008066,-22.81659703681988
-47.09322934962659,-22.816486341975374
-47.09315981932999,-22.81656363280412
-47.09313601213916,-22.816593658318602
-47.09303482931235,-22.81665377948639
-47.09297623916317,-22.81669811951907
-47.09283766354601,-22.816606241463464
-47.0928770292432,-22.816436873313393
-47.09302210069652,-22.81649431750896
-47.092875658987076,-22.816406913376202
-47.09296873646935,-22.816548474213967
-47.093026649291076,-22.816541812617796
-47.09312562190056,-22.81643675588322
-47.09312042412701,-22.816590157403915
-47.09302502926282,-22.816722553915568
-47.09294433042226,-22.81664960533474
-47.09304156965781,-22.816787582427526
-47.09315155850295,-22.81682739650649
-47.09296861866705,-22.81679137407217
-47.09310401808435,-22.816684486530605
-47.0931216500881,-22.81686011487232
-47.09313173500478,-22.816994679183974
-47.0929921579,-22.817013789300482
-47.0928511081769,-22.81699001006678
-47.09271907792053,-22.8170304278656
-47.092655884021035,-22.817136636249455
-47.09262926823946,-22.817268181255134
-47.09270630224543,-22.817280298878725
-47.092562693367285,-22.81738887238516
-47.09261064947309,-22.817474304812613
-47.09255365800541,-22.817608611500674
-47.09260342281054,-22.81763027057178
-47.092644161723776,-22.817748794456868
-47.09271746287882,-22.817848840164825
-47.09280996810769,-22.817963114419662
-47.09290809553243,-22.81791131807035
-47.09285277025394,-22.818000715078064
-47.09272543138381,-22.818071336136803
-47.09286386913727,-22.818010907948132
-47.092831350883536,-22.817929798189496
